year,naics,naics_title,occ_code,occ_title,employment_level,wage_hourly_mean,wage_annual_mean,wage_hourly_median,wage_annual_median,wage_annual_pct10,wage_annual_pct90
2015,11,"Agriculture, Forestry, Fishing and Hunting",45-4023,Log Graders and Scalers,260.0,19.42,40380.0,19.54,40650.0,18160.0,60000.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",45-4029,"Logging Workers, All Other",2540.0,17.72,36850.0,17.37,36120.0,26150.0,49110.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",47-2061,Construction Laborers,,13.96,29040.0,13.67,28420.0,21420.0,38110.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",47-2073,Operating Engineers and Other Construction Equipment Operators,330.0,18.72,38940.0,17.9,37240.0,27620.0,53290.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",47-2111,Electricians,30.0,22.73,47290.0,22.24,46270.0,34890.0,60620.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",510.0,28.92,60150.0,28.26,58790.0,35030.0,88640.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",49-3011,Aircraft Mechanics and Service Technicians,340.0,21.42,44550.0,20.41,42450.0,29660.0,61880.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,590.0,19.29,40120.0,18.42,38310.0,26350.0,58180.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",49-3041,Farm Equipment Mechanics and Service Technicians,1930.0,16.71,34750.0,16.15,33590.0,21630.0,50790.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",1090.0,19.5,40560.0,18.04,37510.0,24990.0,61090.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",40.0,23.84,49580.0,23.17,48190.0,32070.0,73520.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",49-9041,Industrial Machinery Mechanics,380.0,20.5,42640.0,18.97,39450.0,22920.0,67560.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",49-9043,"Maintenance Workers, Machinery",790.0,16.9,35160.0,16.36,34030.0,20910.0,49830.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",49-9071,"Maintenance and Repair Workers, General",2790.0,15.72,32690.0,14.21,29550.0,18690.0,50970.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",49-9096,Riggers,120.0,30.71,63880.0,30.34,63100.0,32590.0,97920.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",49-9098,"Helpers--Installation, Maintenance, and Repair Workers",160.0,11.64,24200.0,11.22,23330.0,18250.0,30810.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",49-9099,"Installation, Maintenance, and Repair Workers, All Other",70.0,13.52,28130.0,12.88,26790.0,20540.0,37480.0
