year,region,occ_code,occ_title,employment_level,wage_hourly_mean,wage_annual_mean,wage_hourly_median,wage_annual_median,wage_annual_pct10,wage_annual_pct90
2015,US,19-4041,Geological and Petroleum Technicians,16820.0,29.19,60710.0,26.73,55610.0,24840.0,98620.0
2015,US,19-4051,Nuclear Technicians,6500.0,37.91,78850.0,38.59,80260.0,47730.0,103750.0
2015,US,19-4061,Social Science Research Assistants,28060.0,22.0,45760.0,20.42,42480.0,20540.0,73280.0
2015,US,19-4091,"Environmental Science and Protection Technicians, Including Health",34250.0,22.38,46540.0,20.69,43030.0,26890.0,71860.0
2015,US,19-4092,Forensic Science Technicians,14070.0,28.89,60090.0,27.08,56320.0,34000.0,94410.0
2015,US,19-4093,Forest and Conservation Technicians,29810.0,18.4,38260.0,17.04,35430.0,25430.0,54860.0
2015,US,19-4099,"Life, Physical, and Social Science Technicians, All Other",72020.0,23.25,48360.0,21.78,45300.0,25080.0,75970.0
2015,US,21-1011,Substance Abuse and Behavioral Disorder Counselors,87090.0,20.64,42920.0,19.22,39980.0,25860.0,63030.0
2015,US,21-1012,"Educational, Guidance, School, and Vocational Counselors",253460.0,27.16,56490.0,25.8,53660.0,32280.0,87640.0
2015,US,21-1013,Marriage and Family Therapists,32070.0,25.73,53520.0,23.37,48600.0,30540.0,81960.0
2015,US,21-1014,Mental Health Counselors,128200.0,21.67,45080.0,20.13,41880.0,26300.0,68790.0
2015,US,21-1015,Rehabilitation Counselors,101630.0,18.29,38040.0,16.54,34390.0,20950.0,60750.0
2015,US,21-1019,"Counselors, All Other",26370.0,23.05,47950.0,21.89,45530.0,25480.0,74150.0
2015,US,21-1021,"Child, Family, and School Social Workers",294080.0,22.41,46610.0,20.36,42350.0,27690.0,73400.0
2015,US,21-1022,Healthcare Social Workers,155590.0,25.97,54020.0,25.18,52380.0,32190.0,77880.0
2015,US,21-1023,Mental Health and Substance Abuse Social Workers,110070.0,22.69,47190.0,20.28,42170.0,26230.0,73330.0
2015,US,21-1029,"Social Workers, All Other",59570.0,27.87,57970.0,28.15,58560.0,33380.0,83400.0
2015,US,21-1091,Health Educators,57570.0,27.26,56690.0,24.98,51960.0,30250.0,92950.0
2015,US,21-1092,Probation Officers and Correctional Treatment Specialists,87950.0,26.0,54080.0,23.73,49360.0,32900.0,86140.0
2015,US,21-1093,Social and Human Service Assistants,359350.0,15.96,33190.0,14.82,30830.0,20120.0,49570.0
2015,US,21-1094,Community Health Workers,48130.0,19.3,40150.0,17.45,36300.0,22570.0,62880.0
2015,US,21-1099,"Community and Social Service Specialists, All Other",94670.0,21.33,44370.0,20.14,41890.0,24370.0,69940.0
2015,US,21-2011,Clergy,48250.0,23.15,48150.0,21.27,44250.0,22380.0,77220.0
